LISTING_ID,TOPIC_1_AVG,TOPIC_2_AVG,TOPIC_3_AVG,TOPIC_4_AVG,TOPIC_5_AVG,TOPIC_6_AVG,TOPIC_7_AVG,TOPIC_8_AVG,TOPIC_9_AVG,TOPIC_10_AVG,TOPIC_11_AVG,SENTIMENT_AVG,TOTAL_REVIEWS_COUNT
42766953.0,0.052049730979603,0.0842797453726192,0.1203669495380492,0.1720912606936895,0.0527199679234391,0.0317186403110593,0.0475057086926035,0.1131082641918681,0.0244746984968012,0.275843702802438,0.0258413309978298,8.0,2
34890275.0,0.0507568023473462,0.0390080214364247,0.1574435716927948,0.126705184597194,0.148475148580327,0.0427678290579516,0.1959893665148382,0.076702039032745,0.0493685921451977,0.0855979310716521,0.0271855135235284,9.428571428571429,7
52435059.0,0.0986437761213959,0.0323558995462223,0.2187694952207346,0.1259397886431382,0.0748205177072261,0.0460954963432306,0.0847291384916865,0.0875041204920319,0.0226971310962462,0.1612758158036125,0.0471688205344752,8.0,2
49255276.0,0.1332323406078216,0.0194060396026079,0.0441522932970851,0.0680845159253748,0.0360197934372746,0.2434868207271487,0.017023238837025,0.0837022789737492,0.0545604227832211,0.2752682577150635,0.0250639980936283,10.5,2
13608707.0,0.0242233437727684,0.372054768260981,0.0322026256863692,0.111785025596854,0.072511796361405,0.0732864551345153,0.0387250194872545,0.0527166865353365,0.0865125676358519,0.106429278462201,0.0295524330664634,16.0,1
52788749.0,0.0375365914631659,0.0940652399922533,0.1690200075419317,0.1237559805328675,0.1214142769185175,0.0416694543601895,0.0581600545896589,0.2279897118304434,0.0260222041752834,0.069447473233772,0.0309190053619161,2.5,2
26317322.0,0.0726688638829674,0.041985082698208,0.1106009648964049,0.1497330137052336,0.1409898312229859,0.1094426291585076,0.0569362048717832,0.0838708129810381,0.1249253487765803,0.0763120444670055,0.0325352033392847,4.5,10
49357888.0,0.0449579787341391,0.0413740568647389,0.1557193607443085,0.2082331245637227,0.118322525292909,0.0838538589373752,0.044825523187927,0.1064300779144068,0.0776779162985342,0.0893852482518196,0.0292203292101185,3.268292682926829,41
54092809.0,0.0592687755985672,0.0411204524506209,0.1295272354249098,0.1757689559389582,0.1184844154441265,0.1370936833150488,0.0304733727181201,0.1197947032309559,0.0735162667903805,0.0867557263798521,0.02819641270846,1.25,4
49418638.0,0.062474599081132,0.0233111630475796,0.0541372301264823,0.0572685369466026,0.05988134820229,0.469451894050311,0.0480157597110879,0.0489096276704542,0.0846751035117114,0.0595622115048007,0.032312526147548,2.0,1
5.69309680284232e+17,0.0714352837731682,0.0426060273058684,0.0385648448790509,0.0799441639526707,0.130403149777671,0.0741093875004217,0.209978097127584,0.0943054783593848,0.0356761331065849,0.181266404906055,0.0417110293115403,1.0,1
11596699.0,0.0758831174793023,0.0489004682058011,0.1496368663284017,0.1675701215408204,0.0863600610700363,0.1689528348723573,0.0327379231769975,0.065053296952475,0.0764684813294581,0.0975028645752098,0.0309339644691402,3.857142857142857,14
